;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
128;0.429;0.631;-11.514;0.0769;7.85e-05;0.00411;0.175;0.376;162.734;168440;4;0;1jzDzZWeSDBg5fhNc3tczV
129;0.525;0.929;-8.56;0.0784;0.262;2.9e-05;0.0754;0.556;163.503;262748;9;0;4ItljeeAXtHsnsnnQojaO2
130;0.795;0.435;-8.927;0.0324;0.0841;0.00026;0.0763;0.596;108.95;258013;4;1;2AkmdLbVKS1steeZdy8H1l
131;0.332;0.769;-11.503;0.0765;0.00367;0.00413;0.0372;0.525;157.378;354774;9;1;0TI8TP4FitVPoEHPTySx48
132;0.464;0.795;-9.267;0.0926;0.0493;0.00244;0.399;0.612;158.691;202267;1;1;63T7DJ1AFDD6Bn8VzG6JE8
133;0.532;0.767;-5.509;0.0574;0.00287;0.000513;0.39;0.755;127.361;210173;7;1;2SiXAy7TuUkycRVbbWDEpo
134;0.528;0.857;-7.138;0.0339;0.00346;0.00365;0.268;0.54;115.446;265413;8;1;65UkVItvIseFvBZ6PbJ3jM
135;0.615;0.616;-10.39;0.133;0.0399;0.000129;0.348;0.836;170.776;235000;6;0;5NTZM8YYeKM2YsGSffVIge
136;0.442;0.943;-3.205;0.0602;0.00293;8.71e-06;0.091;0.781;85.064;181533;3;1;6L89mwZXSOwYl76YXfX13s
137;0.268;0.459;-6.94;0.0346;0.378;0.0;0.118;0.175;64.177;179200;10;1;1lCRw5FEZ1gPDNPzy1K4zW
138;0.587;0.837;-8.551;0.042;0.00379;0.00203;0.108;0.712;118.503;268653;11;1;5nJZLOjtMJZ1HGzQ0FYRJG
139;0.489;0.483;-9.466;0.0275;0.42;0.0028;0.236;0.333;136.822;226706;9;0;4S1VYqwfkLit9mKVY3MXoo
140;0.385;0.783;-2.533;0.233;0.000269;0.47;0.108;0.902;176.701;134467;9;1;4KcH1ZRV2W1q7Flq0QqC76
141;0.553;0.362;-11.218;0.0263;0.0458;6.01e-06;0.075;0.158;142.352;388267;4;0;0nLiqZ6A27jJri2VCalIUs
142;0.447;0.531;-7.721;0.0269;0.0377;1.28e-05;0.336;0.339;75.051;246907;7;1;3EGlnkJGcwz73rT0oE0X1X
143;0.332;0.683;-7.679;0.0491;0.0322;6.51e-06;0.342;0.419;88.522;255600;2;1;6IAVxNFi1W88UhDeyvOsdo
144;0.308;0.726;-7.126;0.0606;0.122;0.0;0.104;0.668;158.77;286160;11;0;2GD5OWfT1wvae1TJ8j6OwU
145;0.751;0.577;-5.443;0.0729;0.0661;0.0;0.302;0.711;91.92;172813;4;0;3Ug3aWEJfMMdFD76hSTEm2
146;0.409;0.92;-5.439;0.12;0.00719;0.00105;0.0823;0.37;145.085;290960;11;0;3vV3cr2TpPqFk07zxYUbla
147;0.547;0.257;-12.358;0.0252;0.907;0.183;0.0935;0.169;75.752;187867;0;1;7pKfPomDEeI4TPT6EOYjn9
148;0.449;0.908;-6.131;0.0853;0.0833;0.0;0.0971;0.495;139.083;289813;8;1;7DtdhIJlSSOaAFNk4JdXCb
149;0.316;0.484;-9.11;0.0308;0.000334;0.00445;0.0912;0.299;117.363;269907;9;0;4mn2kNTqiGLwaUR8JdhJ1l
150;0.256;0.641;-10.283;0.0552;0.199;0.0329;0.0853;0.382;203.006;281160;1;1;11LmqTE2naFULdEP94AUBa
151;0.54;0.584;-9.579;0.0254;0.0108;0.00296;0.253;0.244;139.261;386493;7;1;4aYLAF6ckQ5ooGGGM7sWAa
152;0.577;0.828;-8.691;0.0298;0.00213;0.0114;0.0581;0.604;123.257;331267;6;0;5sICkBXVmaCQk5aISGR3x1
153;0.473;0.783;-10.671;0.0869;0.0125;0.475;0.268;0.124;91.976;340640;10;0;54yLLvpezvPO1lA3GspiZj
154;0.654;0.799;-6.92;0.0501;0.0706;0.0;0.0844;0.755;133.731;199733;0;1;124Y9LPRCAz3q2OP0iCvcJ
155;0.438;0.71;-12.412;0.0919;0.262;0.537;0.221;0.53;145.928;210373;2;1;63OFKbMaZSDZ4wtesuuq6f
156;0.508;0.912;-8.049;0.0368;7.06e-05;0.403;0.0492;0.682;117.582;252693;9;0;5qFxuUIAwJlzO60vqOiL7y
157;0.464;0.612;-12.019;0.0591;0.116;0.00559;0.171;0.496;91.499;474400;9;1;0W35nxtHtFlseSojmygEsf
158;0.531;0.909;-4.236;0.034;0.0175;0.0;0.231;0.814;97.546;178000;11;1;1Dr1fXbc2IxaK1Mu8P8Khz
159;0.511;0.517;-9.653;0.0328;0.13;0.0;0.074;0.433;75.67;241893;8;1;5x9RZg7HfXGY3JayXL3seF
160;0.284;0.875;-6.069;0.0422;0.00752;0.000461;0.402;0.595;75.009;340907;11;0;1L94M3KIu7QluZe63g64rv
161;0.483;0.753;-8.937;0.0832;0.425;0.000142;0.257;0.42;115.102;261093;1;0;15VRO9CQwMpbqUYA7e6Hwg
162;0.409;0.932;-4.538;0.0339;1.87e-05;1.6e-06;0.31;0.591;131.761;166640;11;0;55yvzYuvJYG2RUEnMK78tr
163;0.42;0.746;-10.628;0.0467;0.0141;0.0;0.0661;0.229;111.886;170000;8;1;5Rizj5FLb2AyNKu9esjYY6
164;0.446;0.632;-12.197;0.034;0.0793;0.000266;0.0881;0.359;113.176;233173;1;1;1Ic9pKxGSJGM0LKeqf6lGe
165;0.541;0.618;-9.652;0.179;0.277;4.02e-05;0.413;0.68;145.464;175973;1;0;4UJmPSJsBsIR1U0N79BU1g
166;0.51;0.641;-10.312;0.0812;0.0638;3.65e-06;0.272;0.295;113.646;277267;8;1;7oBazz4xCO7Ul3MJHhKy0Q
167;0.69;0.542;-9.119;0.0367;0.567;0.000779;0.853;0.673;109.449;172933;6;1;725QAOexNLmGZiFMN7U8pF
168;0.618;0.392;-11.941;0.0388;0.683;7.09e-05;0.905;0.437;115.075;196467;11;1;0xHch89AN9RlN8Nm4kJzs3
169;0.42;0.974;-4.706;0.191;8.15e-05;0.00155;0.0871;0.463;165.182;172867;1;1;7f9I5WdyXm5q1XqnSYgQZb
170;0.654;0.828;-5.377;0.0281;0.00146;0.000144;0.122;0.79;112.056;183893;1;0;2x8evxqUlF0eRabbW2JBJd
171;0.535;0.948;-4.19;0.0356;0.00225;0.0;0.376;0.778;103.183;173680;6;0;3DQVgcqaP3iSMbaKsd57l5
172;0.522;0.889;-4.137;0.0461;0.00328;0.0;0.345;0.852;144.499;141133;1;1;0hAMkY2kwdXPPDfQ1e3BmJ
173;0.622;0.846;-4.831;0.0311;0.00316;0.0;0.0989;0.914;110.683;143627;11;0;56GFlp1dkt7dw56pQdTwqW
174;0.288;0.758;-5.692;0.0371;0.00616;0.0;0.303;0.619;97.094;201726;6;0;2AT8iROs4FQueDv2c8q2KE
175;0.295;0.833;-8.279;0.0764;0.014;0.0683;0.0816;0.625;172.756;343173;9;0;5fIZDuxfuM4tANRHZ8Btju
176;0.543;0.944;-7.495;0.0543;0.402;0.000564;0.0373;0.735;101.174;279440;6;1;6C4LXC9UFH1IKiHYOp0BiJ
177;0.733;0.794;-10.023;0.0307;0.0614;0.0367;0.33;0.931;148.174;348624;5;1;37Tmv4NnfQeb0ZgUC4fOJj
178;0.933;0.528;-6.472;0.161;0.112;0.312;0.163;0.754;109.967;214653;5;0;5vdp5UmvTsnMEMESIF2Ym7
179;0.692;0.497;-7.316;0.119;0.676;0.0;0.259;0.475;81.308;122067;2;1;4pbJqGIASGPr0ZpGpnWkDn
180;0.744;0.502;-7.719;0.0359;0.183;0.000228;0.189;0.66;112.344;348227;5;1;1nQRg9q9uwALGzouOX5OyQ
181;0.599;0.761;-6.887;0.0421;0.713;4.74e-06;0.349;0.712;77.015;163373;0;1;6xdLJrVj4vIXwhuG8TMopk
182;0.329;0.179;-11.589;0.0299;0.933;5.04e-06;0.115;0.255;154.175;217387;5;1;4YJUTdZ0Pgl0ZeNyHYXeLd
183;0.426;0.687;-6.926;0.0329;0.409;0.0;0.112;0.189;84.141;277827;11;0;5n6RDaGFSN88oRWuGtYAIN
184;0.182;0.388;-8.672;0.0324;0.544;0.00134;0.114;0.0392;139.276;295333;4;0;3SGP8It5WDnCONyApJKRTJ
185;0.428;0.787;-4.998;0.0849;0.315;2.03e-05;0.124;0.523;128.582;218320;9;1;4zguEJ2UaLe4zbEIDWqiVP
186;0.453;0.987;-4.485;0.0889;0.0195;0.283;0.268;0.316;123.544;273480;8;1;0G21yYKMZoHa30cYVi1iA8
187;0.463;0.671;-6.438;0.0683;0.0626;0.0;0.0947;0.633;84.28;180813;3;1;5CTAcf8aS0a0sIsDwQRF9C
188;0.691;0.631;-6.478;0.0368;0.0483;1.13e-05;0.104;0.8;92.004;161124;2;1;086myS9r57YsLbJpU0TgK9
189;0.728;0.638;-6.455;0.0336;0.249;0.0;0.116;0.872;130.014;193030;5;0;0NdTUS4UiNYCNn5FgVqKQY
190;0.415;0.668;-6.849;0.036;0.212;0.0615;0.27;0.842;180.048;206052;0;1;6wNUBZNWFxdUGof6vkaykE
191;0.678;0.656;-6.41;0.0381;0.00174;0.0;0.0631;0.485;123.207;257053;7;1;5vHLwhxxlGzmClMcxRRFPr
192;0.667;0.755;-7.246;0.069;0.0966;6.94e-05;0.0523;0.883;109.535;286220;9;1;6gXrEUzibufX9xYPk3HD5p
193;0.576;0.545;-7.213;0.0281;0.0871;0.000502;0.267;0.649;84.24;250089;5;1;1tKha6Q0lYlW1qsWYbZB2N
194;0.655;0.606;-10.385;0.0285;0.0603;0.0789;0.0757;0.765;110.061;291686;7;1;608xszaAxVh4m7NcKJiAbF
195;0.631;0.932;-4.142;0.0354;0.0436;0.137;0.0918;0.971;122.429;213067;5;1;7HKez549fwJQDzx3zLjHKC
