danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id;cluster
0.505;0.953;-5.928;0.0538;1.03e-05;0.327;0.0737;0.545;133.036;195573;7;1;1gEV4KEZ7QNo7hO8ClhIGl;61
0.354;0.994;-4.254;0.151;3.38e-05;0.000701;0.0746;0.0761;203.921;233146;7;1;7455R3ZkleZUXIl4qUrsEu;11
0.335;0.869;-4.479;0.0441;0.000806;0.00058;0.177;0.167;148.807;372507;2;1;7gwZU5P25QhYM0lDknVhG8;11
0.255;0.98;-7.273;0.0983;2.19e-05;0.597;0.0705;0.14;137.968;258347;5;0;0clHULfuPEX8aONevwdBer;67
0.381;0.962;-6.96;0.213;0.00601;0.0434;0.311;0.287;99.339;357080;7;1;2UBfBqoPIUskGk0tWzQXSk;80
0.479;0.762;-10.998;0.0523;8.61e-05;0.03;0.15;0.457;91.831;336200;6;0;3JqTeGdODAcf9mWM9mKJOO;69
0.56;0.982;-3.53;0.145;1.19e-05;0.157;0.199;0.29;112.528;73093;11;1;2f5xNIpC6ImTj6Z5jw7XWX;29
0.515;0.805;-8.593;0.0423;7.58e-05;0.545;0.105;0.713;124.505;281733;2;1;1VTRnV3SF0uQmHTM2dqJMg;63
0.325;0.985;-3.941;0.151;0.00177;0.107;0.351;0.221;125.307;392600;11;1;5LyRtsQLhcXmy50VXhQXXS;59
0.546;0.967;-6.216;0.12;0.00013;0.355;0.121;0.327;123.018;221093;0;1;2f94i6VbtWixyKOLUtlQ65;37
0.357;0.974;-4.228;0.0777;2.21e-06;0.681;0.151;0.662;169.2;284096;10;0;5QhdIUkRGXIsKA3qLDpo1N;17
0.506;0.994;-5.733;0.0935;0.000176;0.0152;0.155;0.205;144.04;294800;7;1;712ukvLX20rwHuTWg7Gcjb;37
0.543;0.836;-9.11;0.0353;0.000647;0.431;0.153;0.56;105.173;515387;4;0;2MuWTIM3b0YEAskbeeFE1i;61
0.409;0.73;-11.394;0.0937;7.06e-05;4.88e-05;0.33;0.717;105.827;202160;9;0;0JoHFDx1gp0JjBxEIPutNK;5
